,RAW DATA,,,,,
-1,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.60,Beginner,"480,000.00"
1,Introduction to Data Science,IBM,SPECIALIZATION,4.60,Beginner,"310,000.00"
2,The Science of Well-Being,Yale University,COURSE,4.90,Mixed,"2,500,000.00"
3,Python for Everybody,University of Michigan,SPECIALIZATION,4.80,Beginner,"1,500,000.00"
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.80,Beginner,"350,000.00"
5,Deep Learning,deeplearning.ai,SPECIALIZATION,4.80,Intermediate,"690,000.00"
6,Machine Learning,Stanford University,COURSE,4.90,Mixed,"3,200,000.00"
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.70,Beginner,"510,000.00"
8,Applied Data Science,IBM,SPECIALIZATION,4.60,Beginner,"220,000.00"
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.70,Intermediate,"310,000.00"
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.70,Intermediate,"310,000.00"
11,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.90,Beginner,"240,000.00"
12,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.60,Beginner,"220,000.00"
13,Data Science,Johns Hopkins University,SPECIALIZATION,4.50,Beginner,"830,000.00"
14,Financial Markets,Yale University,COURSE,4.80,Beginner,"470,000.00"
15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.60,Beginner,"740,000.00"
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.50,Beginner,"260,000.00"
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.60,Beginner,"280,000.00"
18,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.70,Intermediate,"300,000.00"
19,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.70,Intermediate,"300,000.00"
20,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.70,Intermediate,"290,000.00"
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.90,Beginner,"220,000.00"
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.60,Intermediate,"120,000.00"
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.50,Beginner,"160,000.00"
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.60,Intermediate,"120,000.00"
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.70,Beginner,"93,000.00"
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.50,Intermediate,"480,000.00"
27,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.70,Intermediate,"170,000.00"
28,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.60,Beginner,"380,000.00"
29,Introduction to Psychology,Yale University,COURSE,4.90,Beginner,"270,000.00"
30,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.70,Beginner,"230,000.00"
31,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.60,Beginner,"440,000.00"
